district,crop_name,season,area_ha
Pyuthan,Millet,Annual,1885.0
Pyuthan,Paddy,Barkhe (Main),6460.0
Pyuthan,Paddy,Chaite (Early),40.0
Pyuthan,Potato,Annual,1680.0
Pyuthan,Soybean,Annual,251.0
Pyuthan,Sugarcane,Annual,10.0
Pyuthan,Wheat,Annual,8651.0
Ramechhap,Barley,Annual,61.0
Ramechhap,Black Gram,Annual,119.0
Ramechhap,Buckwheat,Annual,18.0
Ramechhap,Chickpea,Annual,32.0
Ramechhap,Lentil,Annual,36.0
Ramechhap,Maize,Annual,22169.0
Ramechhap,Millet,Annual,4886.0
Ramechhap,Paddy,Barkhe (Main),7889.0
Ramechhap,Paddy,Chaite (Early),65.0
Ramechhap,Pigeon Pea,Annual,3.0
